ServiceID,VehicleType,VehicleAge,ServiceType,ServiceCost,ServiceDuration,CustomerCity,PaymentMethod
3001,Car,2,General Service,3500,3,Kochi,UPI
3002,Bike,1,Oil Change,800,1,Chennai,Cash
3003,Car,5,Brake Repair,6500,5,Bangalore,Card
3004,SUV,4,General Service,4200,4,Delhi,UPI
3005,Bike,3,Tyre Replacement,1800,2,Kochi,Cash
3006,Car,7,Engine Repair,15000,8,Mumbai,Card
3007,SUV,2,Oil Change,1200,1,Bangalore,UPI
3008,Truck,6,General Service,8500,6,Chennai,Card
3009,Car,3,Battery Replacement,4000,2,Kochi,Cash
3010,Bike,4,General Service,2200,2,Delhi,UPI
3011,Car,1,Oil Change,900,1,Mumbai,Cash
3012,SUV,5,Brake Repair,7000,5,Bangalore,Card
3013,Truck,8,Engine Repair,18000,10,Chennai,Card
3014,Car,6,General Service,3800,3,Kochi,UPI
3015,Bike,2,Oil Change,850,1,Delhi,Cash
3016,SUV,3,Battery Replacement,4500,2,Mumbai,UPI
3017,Car,4,Tyre Replacement,5000,3,Bangalore,Card
3018,Truck,7,Brake Repair,9500,6,Chennai,Card
3019,Bike,5,General Service,2500,2,Kochi,Cash
3020,Car,8,Engine Repair,16000,9,Delhi,Card
3021,SUV,2,General Service,4300,4,Mumbai,UPI
3022,Bike,1,Oil Change,750,1,Chennai,Cash
3023,Car,5,Brake Repair,6700,5,Bangalore,Card
3024,Truck,9,Engine Repair,19000,11,Delhi,Card
3025,SUV,4,Tyre Replacement,5200,3,Kochi,UPI
3026,Car,3,General Service,3600,3,Mumbai,Cash
3027,Bike,2,Battery Replacement,2800,2,Chennai,UPI
3028,Truck,5,General Service,8200,5,Bangalore,Card
3029,SUV,6,Brake Repair,7200,5,Delhi,Card
3030,Car,7,Engine Repair,15500,8,Kochi,UPI
3031,Bike,4,Tyre Replacement,1900,2,Mumbai,Cash
3032,SUV,1,Oil Change,1100,1,Chennai,UPI
3033,Car,2,General Service,3400,3,Bangalore,Cash
3034,Truck,8,Battery Replacement,6000,4,Delhi,Card
3035,Bike,3,General Service,2300,2,Kochi,Cash
3036,Car,6,Brake Repair,6800,5,Mumbai,Card
3037,SUV,5,Engine Repair,14500,7,Chennai,Card
3038,Truck,7,General Service,8700,6,Bangalore,UPI
3039,Bike,2,Oil Change,820,1,Delhi,Cash
3040,Car,4,Battery Replacement,4200,2,Kochi,UPI
3041,SUV,3,General Service,4100,4,Mumbai,Cash
3042,Truck,6,Tyre Replacement,7800,4,Chennai,Card
3043,Bike,5,Brake Repair,3200,3,Bangalore,UPI
3044,Car,8,Engine Repair,17000,9,Delhi,Card
3045,SUV,2,Oil Change,1250,1,Kochi,Cash
3046,Truck,9,General Service,9200,7,Mumbai,UPI
3047,Bike,1,General Service,2100,2,Chennai,Cash
3048,Car,5,Tyre Replacement,5100,3,Bangalore,Card
3049,SUV,4,Battery Replacement,4600,2,Delhi,UPI
3050,Truck,8,Engine Repair,18500,10,Kochi,Card
