CreatorID,Platform,ContentCategory,Followers,PostsPublished,AvgLikes,AvgComments,AvgShares,AvgViews,EngagementRate,Country,Monetized
C001,Instagram,Travel,125000,420,8200,450,320,95000,7.2,India,Yes
C002,YouTube,Technology,210000,185,12500,850,410,180000,7.6,India,Yes
C003,Instagram,Fashion,98000,510,7600,380,290,87000,6.8,India,Yes
C004,YouTube,Gaming,350000,290,24000,1400,900,320000,8.2,USA,Yes
C005,Instagram,Food,87000,380,6200,310,180,72000,6.1,India,No
C006,YouTube,Education,180000,160,11000,720,350,145000,7.0,India,Yes
C007,Instagram,Fitness,142000,440,9800,540,410,112000,7.8,India,Yes
C008,YouTube,Travel,260000,210,16500,920,610,225000,7.9,UK,Yes
C009,Instagram,Lifestyle,75000,350,5100,260,140,65000,5.9,India,No
C010,YouTube,Technology,295000,250,18200,1150,720,270000,8.1,USA,Yes
C011,Instagram,Food,92000,400,6800,330,190,76000,6.4,India,No
C012,YouTube,Education,175000,150,10500,690,320,138000,6.9,India,Yes
C013,Instagram,Fashion,135000,470,9200,510,370,118000,7.5,India,Yes
C014,YouTube,Gaming,410000,330,28000,1600,1100,380000,8.6,USA,Yes
C015,Instagram,Travel,108000,390,7300,400,260,82000,6.7,India,Yes
C016,YouTube,Food,150000,170,9800,620,280,126000,6.5,India,No
C017,Instagram,Fitness,158000,500,11000,620,480,132000,8.0,India,Yes
C018,YouTube,Technology,230000,195,14200,940,520,198000,7.7,Canada,Yes
C019,Instagram,Lifestyle,83000,360,5600,270,160,69000,6.0,India,No
C020,YouTube,Education,205000,175,12800,790,430,172000,7.4,India,Yes
C021,Instagram,Food,96000,410,7100,350,210,79000,6.5,India,No
C022,YouTube,Gaming,370000,305,25200,1480,950,335000,8.3,USA,Yes
C023,Instagram,Travel,118000,430,7900,430,290,90000,7.0,India,Yes
C024,YouTube,Technology,280000,235,17600,1080,680,258000,8.0,UK,Yes
C025,Instagram,Fashion,148000,520,10300,590,430,128000,7.9,India,Yes
C026,YouTube,Education,190000,165,11600,730,360,150000,7.1,India,Yes
C027,Instagram,Fitness,165000,540,11800,670,510,140000,8.2,India,Yes
C028,YouTube,Travel,245000,205,15800,880,590,215000,7.8,Australia,Yes
C029,Instagram,Lifestyle,89000,370,5900,280,170,72000,6.2,India,No
C030,YouTube,Food,162000,180,10200,640,300,132000,6.6,India,No
C031,Instagram,Travel,130000,450,8600,470,340,98000,7.3,India,Yes
C032,YouTube,Gaming,390000,320,26800,1550,980,350000,8.4,USA,Yes
C033,Instagram,Fashion,152000,530,10800,610,450,134000,8.0,India,Yes
C034,YouTube,Technology,310000,265,19400,1220,760,286000,8.2,Canada,Yes
C035,Instagram,Food,101000,420,7400,360,220,83000,6.6,India,No
C036,YouTube,Education,220000,190,13600,840,470,184000,7.5,India,Yes
C037,Instagram,Fitness,172000,560,12400,700,540,148000,8.3,India,Yes
C038,YouTube,Travel,275000,225,17100,970,650,240000,8.0,UK,Yes
C039,Instagram,Lifestyle,94000,390,6200,300,180,76000,6.3,India,No
C040,YouTube,Gaming,430000,345,29500,1750,1180,400000,8.8,USA,Yes
C041,Instagram,Travel,138000,470,9100,500,360,105000,7.4,India,Yes
C042,YouTube,Technology,325000,275,20100,1260,790,298000,8.3,USA,Yes
C043,Instagram,Fashion,160000,550,11400,640,470,142000,8.1,India,Yes
C044,YouTube,Education,235000,200,14400,890,490,192000,7.6,India,Yes
C045,Instagram,Food,107000,440,7800,390,240,87000,6.7,India,No
C046,YouTube,Travel,290000,240,17900,1020,690,252000,8.1,Australia,Yes
C047,Instagram,Fitness,180000,580,13100,740,570,156000,8.5,India,Yes
C048,YouTube,Gaming,450000,360,31000,1850,1250,425000,9.0,USA,Yes
C049,Instagram,Lifestyle,99000,410,6500,320,190,80000,6.4,India,No
C050,YouTube,Technology,340000,285,21000,1320,820,312000,8.4,Canada,Yes
